ID_Muestra,Nombre_Mineral,Tipo_Mineral,Densidad_g_cm3,Dureza_Mohs,Pureza_Porcentaje,Peso_Muestra_kg,Volumen_cm3,Uso_Principal,Pais_Origen,Anio_Descubrimiento
60,Uranio,No Metálico,6.49,6.8,55.63,78.313,970.71,Cerámica,Canadá,1765.0
61,Uranio,Metálico,6.9,4.7,67.8,194.352,74.49,Joyería,Ecuador,1731.0
62,Cuarzo,No Metálico,19.83,6.0,92.12,,613.56,Industria Química,Estados Unidos,1697.0
63,Zinc,Industrial,11.88,,78.74,138.296,472.19,Generación de Energía,Sudáfrica,1824.0
64,Piedra Caliza,Precioso,6.68,6.8,62.93,206.798,702.55,Cosméticos,Canadá,1542.0
65,Cuarzo,Precioso,15.52,9.0,,388.624,124.96,Automoción,Colombia,
66,Granito,No Metálico,1.03,1.2,96.73,,154.95,Automoción,Estados Unidos,1509.0
67,Piedra Caliza,No Metálico,12.05,5.8,83.16,287.088,391.98,Aleaciones,Kazajistán,1551.0
68,Esmeralda,Precioso,2.57,8.4,,336.418,312.15,Vidrio,Indonesia,1915.0
69,Grafito,No Metálico,6.19,8.5,,75.773,552.65,Construcción,Chile,1897.0
70,Diamante,Energético,5.5,,50.57,388.623,36.81,Industria Química,Rusia,1612.0
71,Platino,Industrial,,7.1,90.29,,795.63,Cerámica,Colombia,1802.0
72,Granito,Industrial,3.38,5.6,,284.606,901.1,Automoción,Chile,1780.0
73,Cobre,Energético,14.15,4.2,71.17,,141.33,Electrónica,Rusia,1817.0
74,Carbón,Industrial,8.7,,76.94,334.539,2.81,Construcción,Bolivia,1587.0
75,Níquel,No Metálico,1.83,4.6,78.17,271.81,580.47,Construcción,Indonesia,1543.0
76,Calcita,Industrial,6.08,5.3,82.69,400.32,282.68,Industria Química,India,2008.0
77,Esmeralda,Metálico,1.82,7.8,56.62,444.58,399.68,Generación de Energía,Sudáfrica,1817.0
78,Hierro,Precioso,10.43,2.6,,38.076,,Construcción,Chile,1649.0
79,Piedra Caliza,Metálico,,4.7,,74.748,86.39,Cosméticos,Canadá,1936.0
80,Sal,Precioso,1.84,8.7,81.88,,279.4,Automoción,Australia,1845.0
81,Níquel,Industrial,7.69,1.5,80.9,389.163,471.01,Industria Química,Indonesia,1741.0
82,Diamante,No Metálico,14.01,4.9,87.86,109.894,,Joyería,India,1611.0
83,Uranio,Metálico,1.58,9.0,83.98,264.147,783.44,Industria Química,India,1669.0
84,Bauxita,Precioso,15.54,6.7,,427.923,60.84,Vidrio,Rusia,1562.0
85,Calcita,No Metálico,,1.8,53.89,401.243,,Cosméticos,Argentina,1790.0
86,Oro,Precioso,4.43,,72.54,247.392,878.52,Joyería,Kazajistán,1710.0
87,Manganeso,Precioso,3.58,8.9,53.38,262.564,,Automoción,Argentina,1774.0
88,Diamante,No Metálico,9.85,5.1,59.81,330.742,348.13,Cosméticos,Ecuador,1784.0
89,Diamante,Metálico,15.48,4.4,,,,Joyería,México,1867.0
90,Feldespato,No Metálico,19.04,2.8,73.8,169.693,204.09,Aleaciones,Sudáfrica,1681.0
91,Azufre,Precioso,17.94x,8.6,98.91,60.681,337.21,Automoción,Ecuador,1610.0
92,Plata,Energético,13.43,2.7,51.84%,376.964,,Construcción,Australia,1739.0
93,Barita,Metálico,5.05,4.1,76.55,142.45,226.18,Construcción,Estados Unidos,2004.0
94,Cuarzo,No Metálico,11.72,4.0,50.3,275.851,877.91,Joyería,Brasil,1510.0
95,Oro,Industrial,16.31,8.8,,297.235,104.07,Aleaciones,Ecuador,1625.0
96,Cobre,Metálico,5.41,7.2,65.96,42.207,648.8,Electrónica,China,1800.0
97,Bauxita,Energético,3.24y,7.9,71.25,,359.87,Construcción,Ecuador,2000.0
98,Diamante,Precioso,17.29y,2.5,96.57,147.612,612.01,Aleaciones,Australia,1575.0
99,Yeso,Energético,13.67,4.7,,266.86,115.87,Agricultura,Brasil,1987.0
100,Bauxita,No Metálico,11.37,5.7,57.07,9.223,532.52,Tecnología,Argentina,1579.0
101,Carbón,Industrial,16.46y,,70.19%,411.678,648.1,Tecnología,Kazajistán,1878.0
102,Barita,No Metálico,4.87,2.5,,339.159,,Joyería,Brasil,1806.0
103,Esmeralda,Industrial,2.0,2.4,84.89,254.706,458.23,Agricultura,Kazajistán,1968.0
104,Plata,Energético,5.66,7.1,,68.501,439.2,Tecnología,Ecuador,1566.0
105,Bauxita,Metálico,13.89,1.9,,143.497,,Medicina,Bolivia,1820.0
106,Níquel,Precioso,,1.8,61.24,413.13,22.65,Cerámica,Canadá,1602.0
107,Sal,Industrial,18.64,5.1,90.94,407.086,604.83,Automoción,India,2004.0
108,Carbón,No Metálico,17.43,9.5,64.06,,262.58,Joyería,Indonesia,1787.0
109,Caolín,Industrial,14.8,8.6,80.77,,686.5,Generación de Energía,Estados Unidos,1840.0
110,Oro,Energético,18.8,9.8,54.39,297.505,962.52,Medicina,Perú,1653.0
111,Mercurio,Precioso,13.47,2.4,64.72,,472.29,Industria Química,Chile,1956.0
112,Carbón,No Metálico,17.81,5.5,69.07,157.373,520.9,Electrónica,Ecuador,2015.0
113,Piedra Caliza,No Metálico,11.45,,99.05,307.44,349.63,Cosméticos,Colombia,1602.0
114,Barita,Industrial,8.0,2.5,84.22,265.497,972.24,Cerámica,Colombia,1963.0
115,Yeso,Metálico,8.98y,9.6,,98.791,,Aleaciones,Brasil,1776.0
116,Esmeralda,Energético,,6.4,77.61,420.364,,Electrónica,Ecuador,1822.0
117,Piedra Caliza,Energético,4.48,,78.42,416.83,703.92,Aleaciones,Brasil,1584.0
118,Fosfato,Industrial,4.53y,5.2,88.55,246.74,174.75,Construcción,Ecuador,1608.0
119,Fosfato,Industrial,10.88,6.2,67.94,53.794,676.73,Vidrio,Chile,1946.0
120,Platino,Metálico,15.5,6.8,64.19,201.384,114.5,Vidrio,Perú,1717.0
121,Yeso,Precioso,,6.2,61.4,305.056,64.72,Joyería,Bolivia,1705.0
122,Zinc,Precioso,12.17,4.9,97.25,212.356,,Automoción,Argentina,1992.0
123,Manganeso,Precioso,,1.3,59.25,408.977,832.48,Medicina,Bolivia,1946.0
124,Zinc,Precioso,13.72,9.6,54.5,279.198,914.24,Medicina,Argentina,1632.0
125,Manganeso,No Metálico,,,81.75,,982.03,Industria Química,China,1908.0
126,Hierro,Precioso,16.95,6.7,99.08,434.133,631.53,Generación de Energía,Australia,1792.0
127,Platino,Industrial,4.54,4.6,94.94,2.317,153.43,Vidrio,Sudáfrica,1550.0
128,Caolín,No Metálico,14.08,7.4,61.46,326.901,391.38,Aleaciones,Estados Unidos,
129,Granito,Metálico,12.56,1.8,70.71,79.948,194.48,Industria Química,India,1646.0
130,Azufre,Industrial,9.74,4.5,78.97,91.009,765.88,Cerámica,Colombia,1852.0
131,Carbón,Industrial,8.22,8.0,94.77,177.487,534.56,Cerámica,Kazajistán,1552.0
132,Carbón,Metálico,19.52,6.5,78.02,204.343,,Generación de Energía,India,1784.0
133,Platino,Metálico,,,97.21,338.85,871.77,Aleaciones,Canadá,
134,Hierro,Energético,15.04,2.4,,492.827,,Cerámica,China,
135,Níquel,Metálico,6.48,4.5,72.33,112.471,894.83,Cosméticos,Kazajistán,2002.0
136,Cuarzo,No Metálico,16.88x,6.9,91.37,,164.8,Tecnología,China,1719.0
137,Esmeralda,Metálico,6.68x,3.9,90.49,16.379,519.91,Cerámica,Australia,1851.0
138,Azufre,Industrial,5.59,3.6,88.61,32.438,,Agricultura,Canadá,1831.0
139,Sal,Industrial,,,,92.523,,Vidrio,China,1894.0
140,Feldespato,No Metálico,4.68,8.9,97.13,339.316,,Tecnología,Bolivia,1767.0
141,Zinc,No Metálico,,9.3,81.99,81.641,81.92,Electrónica,Canadá,1802.0
142,Cuarzo,Metálico,3.17y,8.1,,262.613,,Electrónica,Argentina,
143,Carbón,Industrial,3.33,2.0,93.35,202.644,,Vidrio,Brasil,1625.0
144,Níquel,Metálico,16.56,10.0,70.92,382.135,472.53,Cosméticos,Ecuador,1523.0
145,Manganeso,Industrial,2.87y,1.9,75.09,239.423,834.3,Cosméticos,Brasil,1611.0
146,Cobre,Precioso,8.57,9.8,74.82,113.858,,Industria Química,Estados Unidos,1608.0
147,Calcita,Energético,15.06,4.4,82.29,34.792,875.71,Aleaciones,Bolivia,1907.0
148,Fosfato,Industrial,6.76,10.0,87.27,197.528,948.98,Electrónica,Sudáfrica,1816.0
149,Esmeralda,No Metálico,18.61x,,52.35,447.65,363.04,Industria Química,Chile,1790.0
150,Calcita,Industrial,18.59,1.8,71.4,410.322,514.89,Aleaciones,Brasil,1972.0
151,Diamante,Energético,12.56,4.7,74.43,109.284,,Industria Química,Kazajistán,1649.0
152,Calcita,Energético,4.67,2.3,,117.899,199.01,Aleaciones,India,1625.0
153,Cobre,No Metálico,13.27,9.6,74.46,101.177,257.64,Industria Química,China,1555.0
154,Manganeso,Industrial,,9.6,76.11,404.384,289.84,Generación de Energía,Rusia,1744.0
155,Cobre,No Metálico,7.14,2.9,68.02,,580.29,Electrónica,Perú,1600.0
156,Mercurio,Industrial,15.02,2.6,63.54,115.79,354.37,Electrónica,Perú,2007.0
157,Níquel,No Metálico,15.92,9.3,,371.576,195.43,Medicina,Ecuador,1537.0
158,Yeso,Metálico,6.24,9.4,61.86,36.649,199.65,Automoción,Ecuador,1766.0
159,Feldespato,Energético,1.39,1.3,68.57,30.983,58.37,Generación de Energía,Indonesia,1931.0
160,Yeso,Industrial,13.34y,5.0,61.1,225.642,71.64,Cosméticos,México,1590.0
161,Cuarzo,Precioso,14.48,,97.5,328.971,498.55,Electrónica,Australia,1659.0
162,Azufre,Metálico,18.6,7.0,,435.655,568.03,Cerámica,Ecuador,1940.0
163,Yeso,Precioso,5.71,5.2,92.7,319.206,41.51,Cosméticos,China,1888.0
164,Diamante,No Metálico,19.04,2.6,89.27,233.68,130.47,Industria Química,Indonesia,1617.0
165,Carbón,No Metálico,10.96,1.7,,412.299,,Joyería,Colombia,
166,Feldespato,No Metálico,6.22,5.5,66.63,384.804,963.38,Joyería,Bolivia,1682.0
167,Yeso,Energético,9.91y,5.5,91.83,,53.22,Electrónica,Rusia,1856.0
168,Granito,No Metálico,11.95x,5.7,86.14,232.85,82.15,Generación de Energía,Ecuador,1807.0
169,Diamante,No Metálico,13.86,5.8,64.66,372.559,817.62,Joyería,Kazajistán,1945.0
170,Diamante,Precioso,7.43,8.0,64.72,220.6,227.47,Automoción,Chile,1991.0
171,Manganeso,Precioso,13.3,1.6,62.46,175.373,109.43,Construcción,Perú,1671.0
172,Calcita,No Metálico,2.34,5.6,55.5,301.721,,Automoción,Australia,1798.0
173,Esmeralda,Energético,9.52,8.6,,367.624,159.53,Generación de Energía,Kazajistán,1819.0
174,Azufre,Precioso,3.3,,54.71,138.316,304.42,Electrónica,Colombia,1990.0
175,Feldespato,No Metálico,9.55,9.0,,39.998,836.19,Joyería,Australia,1705.0
176,Mercurio,No Metálico,12.73,3.8,71.84,66.214,,Electrónica,Sudáfrica,1758.0
177,Sal,Metálico,9.81,5.7,57.26,1.468,41.77,Aleaciones,Australia,1522.0
178,Zinc,Energético,11.95,7.2,76.7,492.271,153.76,Electrónica,México,1921.0
179,Plata,Metálico,,6.3,80.32,141.993,,Electrónica,Kazajistán,1967.0
180,Platino,Precioso,12.44,6.6,,,122.4,Cosméticos,Indonesia,1679.0
181,Feldespato,Industrial,,7.2,71.89,,97.82,Tecnología,Bolivia,1524.0
182,Piedra Caliza,No Metálico,6.61,7.4,96.46,,415.29,Cosméticos,Argentina,1880.0
183,Yeso,Metálico,2.91,3.0,70.62,68.634,947.32,Construcción,Sudáfrica,1793.0
184,Bauxita,Metálico,6.25,9.1,91.07,126.898,,Industria Química,Chile,1770.0
185,Yeso,Precioso,14.57,8.5,75.28,34.36,967.54,Vidrio,Argentina,1540.0
186,Platino,Energético,11.19,4.1,,135.082,,Generación de Energía,Estados Unidos,1850.0
187,Barita,No Metálico,11.82,1.9,56.25,,634.9,Industria Química,Kazajistán,1537.0
188,Bauxita,Industrial,5.28,4.0,50.35,242.121,210.4,Construcción,India,1766.0
189,Zinc,Precioso,10.5,8.2,59.82,236.449,646.79,Joyería,Estados Unidos,1648.0
190,Grafito,Metálico,10.13,8.7,63.53,84.37,548.78,Agricultura,India,1663.0
191,Grafito,Energético,6.77x,6.0,59.77,104.835,579.67,Cosméticos,Chile,1774.0
192,Bauxita,Precioso,11.26,5.8,56.93,66.797,,Industria Química,China,1713.0
193,Uranio,Energético,13.23,8.5,55.76,,13.85,Aleaciones,China,1787.0
194,Diamante,Energético,6.62,3.3,70.44,22.763,701.04,Cosméticos,Argentina,1845.0
195,Manganeso,No Metálico,1.92,,,,,Generación de Energía,Ecuador,1771.0
196,Caolín,Industrial,,4.1,81.41,449.985,896.48,Agricultura,Indonesia,1671.0
197,Sal,Industrial,17.99,2.9,83.63,345.055,16.27,Cerámica,Ecuador,1773.0
198,Plata,Industrial,6.44x,9.8,,342.476,432.75,Construcción,Australia,1858.0
199,Fosfato,Metálico,15.13,6.7,,411.707,750.89,Agricultura,China,1718.0
200,Caolín,Precioso,13.41,3.6,,305.157,,Medicina,Estados Unidos,1731.0
201,Caolín,No Metálico,9.96,8.1,86.88%,320.652,,Cosméticos,Argentina,1704.0
202,Platino,Industrial,4.46,2.3,52.88,72.467,392.33,Vidrio,Australia,1768.0
203,Níquel,Precioso,,,81.84,337.847,557.49,Joyería,China,1661.0
204,Diamante,Industrial,6.77,8.1,83.88,,,Electrónica,Sudáfrica,1829.0
205,Plata,Precioso,14.08,2.7,97.5,342.855,,Cerámica,India,1859.0
206,Piedra Caliza,Metálico,18.45x,9.3,61.72,425.252,502.19,Cerámica,Brasil,1630.0
207,Zinc,Energético,8.53,4.4,79.01,225.569,,Vidrio,Bolivia,1922.0
208,Diamante,No Metálico,12.09,,84.03,265.347,621.42,Medicina,Ecuador,
209,Caolín,No Metálico,2.89,1.8,79.81,267.26,37.45,Cerámica,China,1840.0
210,Barita,Precioso,3.73,1.0,87.81,138.053,,Tecnología,Estados Unidos,1667.0
211,Hierro,No Metálico,,1.0,,87.584,596.93,Aleaciones,Sudáfrica,1972.0
212,Granito,Industrial,18.32,4.1,,304.73,14.07,Construcción,Indonesia,1644.0
213,Carbón,Metálico,,4.8,93.1,461.926,224.73,Aleaciones,Australia,1739.0
214,Yeso,Energético,1.56y,8.0,50.72,489.046,824.6,Automoción,Bolivia,1863.0
215,Mercurio,Metálico,4.75,2.9,,,,Vidrio,Ecuador,1919.0
216,Grafito,No Metálico,14.17,3.2,,424.954,128.72,Cosméticos,Argentina,1912.0
217,Hierro,Precioso,2.19,,63.51,331.146,471.15,Joyería,Rusia,1725.0
218,Caolín,Metálico,8.77,3.7,,420.353,475.52,Electrónica,Colombia,1884.0
219,Uranio,Industrial,2.78,1.5,73.28,276.049,895.81,Construcción,Brasil,1643.0
220,Sal,Metálico,11.05,9.5,60.36,428.89,187.63,Joyería,Sudáfrica,1911.0
221,Calcita,Metálico,19.73,2.0,97.34,451.632,549.2,Cosméticos,Estados Unidos,1646.0
222,Manganeso,Metálico,18.21,5.1,80.51,199.218,711.55,Joyería,Estados Unidos,1963.0
223,Diamante,Metálico,,2.1,53.32,244.661,19.36,Joyería,Canadá,
224,Níquel,Metálico,2.17,2.7,58.99,,60.29,Industria Química,Argentina,1748.0
225,Carbón,Metálico,19.5,5.2,77.73,90.868,,Generación de Energía,Indonesia,1584.0
226,Manganeso,Metálico,2.6,7.9,68.66,412.249,,Construcción,Chile,1629.0
227,Uranio,Energético,15.06,2.9,53.05,454.691,141.01,Automoción,México,1839.0
228,Oro,Energético,17.99,3.7,56.11,269.135,644.22,Generación de Energía,Estados Unidos,1852.0
229,Feldespato,Precioso,10.4,5.1,66.98,329.399,,Cosméticos,Colombia,1790.0
230,Sal,Energético,8.34,5.1,57.92,271.703,,Aleaciones,Brasil,1664.0
231,Feldespato,No Metálico,14.7,2.9,94.61,107.468,665.74,Joyería,Sudáfrica,1730.0
232,Bauxita,Metálico,11.12,7.4,56.75,22.886,560.43,Medicina,Perú,1545.0
233,Diamante,Industrial,15.17,1.0,,37.598,,Joyería,Rusia,1884.0
234,Carbón,Precioso,10.11,6.5,84.96,396.387,258.71,Cosméticos,Brasil,1861.0
235,Fosfato,Industrial,6.26,3.8,50.37,413.701,512.27,Agricultura,Perú,2023.0
236,Barita,No Metálico,,8.5,74.32%,419.9,319.86,Industria Química,Kazajistán,1610.0
237,Feldespato,Energético,,3.3,,424.853,505.29,Automoción,Colombia,
238,Hierro,Precioso,,5.8,51.06,,358.51,Vidrio,Sudáfrica,2012.0
239,Platino,Metálico,,2.3,,409.609,,Tecnología,Canadá,1782.0
240,Grafito,Metálico,5.79,6.2,76.04,443.53,,Electrónica,México,2011.0
241,Carbón,Energético,16.82,6.8,92.53,145.509,242.21,Joyería,Kazajistán,1942.0
242,Sal,Metálico,13.52,9.2,79.62,167.358,607.39,Cosméticos,China,1949.0
243,Diamante,Energético,2.41x,4.2,54.97,155.926,,Generación de Energía,Indonesia,1913.0
244,Cuarzo,Precioso,15.98,4.1,65.7,257.305,745.93,Joyería,Perú,
245,Níquel,Energético,11.17,8.4,71.82,316.228,,Automoción,Indonesia,1932.0
246,Caolín,No Metálico,5.21,5.1,81.42,319.951,940.86,Medicina,Chile,1922.0
247,Cobre,Precioso,8.35,3.7,91.75,176.316,351.88,Vidrio,Canadá,1920.0
248,Cobre,No Metálico,5.07,7.0,73.3,442.407,407.2,Vidrio,Kazajistán,1695.0
249,Cuarzo,Precioso,,6.5,,92.632,370.18,Industria Química,Brasil,1607.0
250,Azufre,Precioso,2.37,1.6,90.22,238.739,755.8,Generación de Energía,Colombia,1657.0
251,Diamante,Energético,4.84y,2.4,96.37,96.503,916.04,Cerámica,Ecuador,1767.0
252,Zinc,Energético,,,,223.746,650.4,Joyería,Argentina,1625.0
253,Caolín,Metálico,7.69,7.6,69.77,56.014,575.35,Cerámica,Chile,1777.0
254,Esmeralda,Precioso,4.51,5.0,56.11,109.46,779.79,Industria Química,Perú,1978.0
255,Barita,Industrial,6.07y,9.4,,419.13,369.87,Medicina,Chile,1692.0
256,Granito,Metálico,12.67x,1.3,94.6,37.172,482.65,Aleaciones,Argentina,1827.0
257,Granito,Precioso,8.81,1.3,82.88,279.104,200.11,Tecnología,India,1965.0
258,Oro,No Metálico,17.79,3.8,73.69,268.817,604.21,Aleaciones,Kazajistán,1967.0
259,Platino,No Metálico,14.51,2.6,,208.012,21.81,Tecnología,Rusia,1671.0
260,Fosfato,Metálico,6.67x,,85.44,123.447,,Industria Química,Canadá,1661.0
261,Uranio,Industrial,10.99,5.1,68.51%,17.718,606.05,Vidrio,Brasil,2015.0
262,Yeso,Industrial,12.86,8.9,67.39,160.214,692.2,Electrónica,Bolivia,
263,Grafito,Industrial,13.17,4.7,,480.613,,Cosméticos,Perú,1784.0
264,Mercurio,Metálico,4.97y,9.5,95.78,23.98,781.78,Automoción,Kazajistán,1667.0
265,Mercurio,Energético,8.6,5.3,87.42,330.61,817.77,Tecnología,Chile,1939.0
266,Platino,No Metálico,11.89,4.3,96.46,143.536,651.08,Vidrio,Kazajistán,1758.0
267,Esmeralda,Energético,13.04,5.0,79.52,52.966,708.94,Automoción,Colombia,1526.0
268,Mercurio,Precioso,18.01,2.9,,132.311,229.2,Industria Química,Chile,1929.0
269,Piedra Caliza,Precioso,13.0,5.9,92.12,79.735,930.92,Vidrio,Estados Unidos,1849.0
270,Manganeso,No Metálico,14.64,2.2,87.8,371.657,76.06,Medicina,Canadá,1738.0
271,Piedra Caliza,Metálico,10.78,3.8,67.3,192.602,421.52,Vidrio,Estados Unidos,1537.0
272,Diamante,Precioso,16.57,6.3,74.67,,692.91,Tecnología,México,1587.0
273,Oro,No Metálico,15.38,2.9,53.31,26.58,308.22,Generación de Energía,Argentina,1820.0
274,Granito,Energético,9.24,1.8,67.09,308.413,152.63,Tecnología,Kazajistán,1924.0
275,Diamante,Industrial,6.1,1.8,73.13,65.846,510.93,Cosméticos,Rusia,1730.0
276,Grafito,Energético,13.16,6.8,78.61,203.865,887.65,Generación de Energía,México,1706.0
277,Platino,Precioso,10.54,8.1,88.98,223.417,356.78,Cosméticos,Kazajistán,1794.0
278,Barita,No Metálico,13.01,1.9,98.52,154.457,,Vidrio,Argentina,1928.0
279,Sal,Precioso,10.13,5.8,98.0,,,Cosméticos,Canadá,1505.0
280,Bauxita,No Metálico,4.07,7.3,,55.657,,Aleaciones,México,1575.0
281,Cobre,Energético,5.01,,71.89,343.616,493.82,Electrónica,Sudáfrica,1859.0
282,Caolín,Precioso,18.43,3.9,61.31,441.066,,Joyería,Canadá,1592.0
283,Hierro,Metálico,6.09,2.0,82.59,472.915,,Construcción,Ecuador,1685.0
284,Azufre,Precioso,14.04,8.8,94.94,,,Vidrio,Rusia,1639.0
285,Manganeso,Precioso,8.55,,,39.829,100.99,Automoción,China,1554.0
286,Yeso,No Metálico,9.99,,,,64.38,Agricultura,China,1791.0
287,Granito,Industrial,10.11,9.8,69.19%,372.531,13.75,Vidrio,Bolivia,1891.0
288,Platino,No Metálico,6.29,8.0,59.4,111.524,904.3,Joyería,Rusia,1517.0
289,Oro,Energético,10.95,4.4,,98.208,982.49,Vidrio,Perú,1930.0
290,Zinc,No Metálico,,6.4,59.06,68.482,125.95,Joyería,México,1619.0
291,Grafito,Industrial,,3.6,64.87,233.753,122.86,Joyería,Australia,1973.0
292,Calcita,No Metálico,,1.3,93.86,213.389,423.49,Agricultura,Australia,1948.0
293,Manganeso,No Metálico,,3.7,94.21,,,Agricultura,Brasil,1885.0
294,Feldespato,Industrial,19.82,3.5,,361.694,,Generación de Energía,México,1509.0
295,Fosfato,Metálico,10.53,2.6,71.45,494.709,691.76,Agricultura,Estados Unidos,1630.0
296,Piedra Caliza,Industrial,1.7,6.1,94.35,,,Construcción,Bolivia,1729.0
297,Carbón,No Metálico,18.28,3.5,92.18,436.738,,Agricultura,México,1620.0
298,Hierro,No Metálico,16.54,8.5,74.86,427.164,716.96,Construcción,Bolivia,1953.0
299,Esmeralda,Metálico,14.78,1.9,64.32,109.664,351.24,Vidrio,Bolivia,1539.0
