Tipo_Material,Proveedor,Region_Entrega,Cantidad_Unidades,Dias_Entrega,Costo_Unitario,Peso_Kg,Año
Teja,Proveedor D,Oeste,5791.0,17.0,536.04,606.21,2018.0
Bloque,Proveedor A,Este,3151.0,28.0,206.29,228.72,2018.0
Pintura,Proveedor A,Norte,104.0,27.0,204.78,,2018.0
Teja,Proveedor B,Norte,5322.0,20.0,440.9,618.17,2018.0
Arena,Proveedor D,Oeste,5415.0,24.0,520.24,358.23,2018.0
Acero,Proveedor D,Este,,12.0,538.37,113.65,2018.0
Arena,Proveedor B,Este,976.0,18.0,413.29,671.61,2018.0
Teja,Proveedor C,Centro,9283.0,3.0,209.57,520.36,2018.0
Adoquín,Proveedor A,Este,7127.0,28.0,,772.34,2018.0
Pintura,Proveedor E,Este,4242.0,1.0,421.54,520.21,2018.0
Pintura,Proveedor A,Este,7066.0,1.0,306.95,852.2,2018.0
Cemento,Proveedor A,Sur,7179.0,29.0,,551.95,2018.0
Pintura,Proveedor C,Centro,8087.0,19.0,496.71,560.98,2018.0
Bloque,Proveedor A,Norte,6899.0,11.0,67.16,876.67,2019.0
Pintura,Proveedor B,Oeste,4565.0,5.0,276.86,403.54,2019.0
Teja,Proveedor B,Norte,735.0,12.0,11.85,134.1,2019.0
Cemento,Proveedor D,Centro,1793.0,3.0,264.78,28.88,2019.0
Teja,Proveedor E,Oeste,9974.0,1.0,36.91,755.16,2019.0
Teja,Proveedor A,Centro,,1.0,71.56,620.35,2019.0
Madera,Proveedor A,Este,8411.0,8.0,70.58,704.11,2019.0
Cemento,Proveedor C,Oeste,930.0,10.0,368.7,213.04,2019.0
Teja,Proveedor B,Este,5277.0,11.0,420.0,136.46,2019.0
Madera,Proveedor E,Norte,9661.0,12.0,327.48,14.64,2019.0
Madera,Proveedor D,Norte,9032.0,29.0,,350.65,2019.0
Cemento,Proveedor B,Oeste,8408.0,,212.1,589.96,
Arena,Proveedor D,Oeste,6049.0,12.0,163.26,392.3,2019.0
Adoquín,Proveedor C,Centro,2938.0,14.0,484.2,437.53,2019.0
Bloque,Proveedor C,Centro,1250.0,2.0,128.84,904.17,2019.0
Adoquín,Proveedor A,Este,7660.0,29.0,537.55,348.32,2019.0
Pintura,Proveedor E,Oeste,2031.0,19.0,12.27,514.04,2019.0
Bloque,Proveedor D,Norte,9304.0,18.0,547.15,783.67,2019.0
Pintura,Proveedor B,Centro,1764.0,3.0,29.3,396.6,2019.0
Teja,Proveedor C,Centro,1181.0,23.0,499.87,622.12,2019.0
