Tipo_Material,Proveedor,Region_Entrega,Cantidad_Unidades,Dias_Entrega,Costo_Unitario,Peso_Kg,Año
Teja,Proveedor E,Oeste,4088,19,315.09,658.81,2018
Cemento,Proveedor B,Sur,3865,14,160.05,493.95,2018
Grava,Proveedor D,Oeste,1665,7,457.19,683.71,2018
Cemento,Proveedor E,Norte,8196,13,246.13,103.94,2018
Acero,Proveedor B,Oeste,8035,1,472.77,918.34,2018
Arena,Proveedor A,Norte,6259,4,266.56,402.93,2018
Acero,Proveedor A,Centro,241,9,93.11,604.19,2018
Madera,Proveedor E,Este,3328,17,165.01,7.72,2018
Madera,Proveedor E,Sur,4113,16,351.57,488.76,2018
Arena,Proveedor C,Este,6224,20,125.76,944.02,2018
Pintura,Proveedor A,Oeste,7764,25,430.68,466.72,2018
Cemento,Proveedor E,Este,8405,13,73.79,132.1,2018
Bloque,Proveedor E,Este,3942,2,343.2,318.9,2018
Cemento,Proveedor E,Centro,805,22,372.17,137.49,2018
Arena,Proveedor C,Sur,8567,28,357.49,670.66,2018
Acero,Proveedor D,Centro,6415,19,57.88,853.84,2018
Grava,Proveedor D,Este,1912,9,173.79,45.81,2018
Acero,Proveedor E,Sur,2304,20,38.3,21.7,2018
Pintura,Proveedor B,Oeste,9524,20,483.81,226.66,2019
Pintura,Proveedor A,Sur,9538,22,374.49,205.42,2019
Teja,Proveedor B,Este,5498,19,23.9,4.35,2019
Cemento,Proveedor C,Este,8711,7,521.68,342.86,2019
Cemento,Proveedor D,Oeste,699,10,171.37,161.66,2019
Adoquín,Proveedor B,Sur,3426,19,551.92,809.7,2019
Acero,Proveedor A,Centro,1948,12,37.09,422.59,2019
Teja,Proveedor B,Este,4768,2,339.27,236.96,2019
Pintura,Proveedor D,Este,6262,29,257.64,923.37,2019
Teja,Proveedor E,Centro,2723,13,430.7,290.75,2019
Arena,Proveedor A,Centro,6542,21,475.59,974.44,2019
Cemento,Proveedor A,Sur,2960,19,155.52,137.37,2019
Cemento,Proveedor B,Oeste,7940,26,535.86,823.01,2019
Arena,Proveedor C,Este,8552,26,450.82,780.82,2019
Ladrillo,Proveedor C,Centro,6924,1,142.02,626.34,
Cemento,Proveedor C,Sur,7852,16,507.15,460.63,2019
Pintura,Proveedor C,Este,4562,12,294.63,400.33,2019
Madera,Proveedor E,Centro,7023,9,295.51,964.72,2019
Teja,Proveedor D,Centro,5552,20,415.35,638.79,2019
Madera,Proveedor B,Norte,144,2,497.14,912.91,2019
