Tipo_Material,Proveedor,Region_Entrega,Cantidad_Unidades,Dias_Entrega,Costo_Unitario,Peso_Kg,Año
Pintura,Proveedor A,Norte,835,11,228.17,677.31,2016
Acero,Proveedor A,Este,453,13,369.37,438.59,2016
Pintura,Proveedor E,Oeste,740,1,248.11,315.75,2016
Teja,Proveedor D,Este,136,5,232.08,861.18,2016
Pintura,Proveedor E,Oeste,410,9,259.61,730.62,2016
Acero,Proveedor B,Centro,434,9,390.15,151.98,2016
Cemento,Proveedor C,Este,265,15,378.33,182.33,2016
Grava,Proveedor C,Centro,776,12,416.8,709.62,2016
Arena,Proveedor E,Este,445,1,420.32,670.06,2016
Acero,Proveedor E,Este,123,13,441.11,438.09,2016
Grava,Proveedor B,Centro,465,13,281.54,497.12,2016
Arena,Proveedor C,Oeste,440,5,341.5,939.46,2016
Teja,Proveedor B,Centro,502,17,234.82,979.13,2016
Bloque,Proveedor B,Norte,302,19,495.93,659.69,2016
Cemento,Proveedor A,Centro,445,3,219.65,404.14,2016
Cemento,Proveedor E,Centro,400,7,481.79,733.83,2016
Adoquín,Proveedor E,Norte,899,19,260.13,489.51,2017
Madera,Proveedor E,Sur,319,1,243.34,751.83,2017
Arena,Proveedor C,Centro,560,2,518.39,156.83,2017
Grava,Proveedor A,Este,972,6,295.61,281.32,2017
Pintura,Proveedor E,Centro,751,6,309.43,226.8,2017
Pintura,Proveedor C,Este,982,14,313.82,975.99,2017
Teja,Proveedor A,Centro,380,15,316.99,649.91,2017
Grava,Proveedor E,Norte,865,16,514.82,221.55,2017
Acero,Proveedor E,Oeste,190,15,389.26,240.61,2017
Acero,Proveedor B,Centro,188,19,329.19,604.96,2017
Acero,Proveedor E,Este,872,2,259.97,872.04,2017
Grava,Proveedor A,Sur,448,2,408.71,111.85,2017
Grava,Proveedor E,Sur,668,14,385.62,899.7,2017
Teja,Proveedor A,Oeste,484,8,370.31,406.78,2017
Arena,Proveedor A,Norte,376,15,510.77,165.83,2017
Ladrillo,Proveedor B,Sur,923,2,439.05,354.84,2017
Cemento,Proveedor E,Norte,238,7,265.01,124.42,2017
Cemento,Proveedor D,Oeste,461,18,418.34,269.92,2017
Cemento,Proveedor C,Sur,873,14,392.68,658.81,2017
Cemento,Proveedor E,Oeste,415,16,304.74,493.95,2017
Madera,Proveedor D,Este,978,9,490.39,683.71,2018
Madera,Proveedor B,Centro,704,16,362.67,103.94,2018
Teja,Proveedor E,Oeste,109,12,501.27,918.34,2018
Cemento,Proveedor B,Sur,794,1,376.65,402.93,2018
Grava,Proveedor D,Oeste,801,2,269.74,604.19,2018
Cemento,Proveedor E,Norte,184,8,314.11,7.72,2018
Acero,Proveedor B,Oeste,266,9,429.69,488.76,2018
Arena,Proveedor A,Norte,592,12,292.06,944.02,2018
Acero,Proveedor A,Centro,479,1,474.57,466.72,2018
Madera,Proveedor E,Este,567,19,261.23,132.1,2018
Madera,Proveedor E,Sur,196,14,420.86,318.9,2018
Arena,Proveedor C,Este,730,7,439.65,137.49,2018
Pintura,Proveedor A,Oeste,695,13,433.3,670.66,2018
Cemento,Proveedor E,Este,645,1,250.01,853.84,2018
Bloque,Proveedor E,Este,303,4,320.31,45.81,2018
Cemento,Proveedor E,Centro,323,9,239.52,21.7,2018
Arena,Proveedor C,Sur,914,17,501.0,226.66,2018
Acero,Proveedor D,Centro,530,16,435.8,205.42,2018
Grava,Proveedor D,Este,341,13,230.28,4.35,2018
Acero,Proveedor E,Sur,761,2,520.62,342.86,2018
Pintura,Proveedor B,Oeste,917,19,325.47,161.66,2019
Pintura,Proveedor A,Sur,381,9,555.0,809.7,2019
Teja,Proveedor B,Este,583,19,241.67,422.59,2019
Cemento,Proveedor C,Este,708,7,426.21,236.96,2019
Cemento,Proveedor D,Oeste,368,10,378.12,923.37,2019
Adoquín,Proveedor B,Sur,933,19,482.49,290.75,2019
Acero,Proveedor A,Centro,204,12,508.59,974.44,2019
Teja,Proveedor B,Este,559,2,315.79,137.37,2019
Pintura,Proveedor D,Este,729,13,544.37,823.01,2019
Teja,Proveedor E,Centro,464,19,492.31,780.82,2019
Arena,Proveedor A,Centro,839,1,304.93,626.34,2019
Cemento,Proveedor A,Sur,793,16,526.81,460.63,2019
Cemento,Proveedor B,Oeste,641,12,400.95,400.33,2019
Arena,Proveedor C,Este,444,9,400.66,964.72,2019
Ladrillo,Proveedor C,Centro,590,2,,638.79,2019
Cemento,Proveedor C,Sur,747,19,,912.91,2019
Pintura,Proveedor C,Este,504,3,,543.04,2019
Madera,Proveedor E,Centro,900,12,,416.58,2019
Teja,Proveedor D,Centro,900,2,,215.77,2019
Madera,Proveedor B,Norte,900,6,377.77,457.78,2019
